"Path","InternalName","OriginalFilename","FileDescription","ProductName","FileVersion","CompanyName","SignatureStatus","SignerSubject"
"C:\Users\KitchenGun\AppData\Local\Microsoft\OneDrive\OneDrive.exe","Client Application","OneDrive.exe","Microsoft OneDrive","Microsoft OneDrive","26.088.0510.0004","Microsoft Corporation","Valid","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"C:\Program Files\VMware\VMware Tools\7za.exe","7za","7za.exe","7-Zip Standalone Console","7-Zip","24.09","Igor Pavlov","Valid","CN=Broadcom Inc, O=Broadcom Inc, L=San Jose, S=California, C=US, SERIALNUMBER=6610117, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US"
"C:\Program Files\VMware\VMware Tools\deployPkg.dll","deployPkg","deployPkg.dll","VMware Deployment Package Library","VMware System Image Framework","13.0.0 build-24572694","Broadcom Inc.","Valid","CN=Broadcom Inc, O=Broadcom Inc, L=San Jose, S=California, C=US, SERIALNUMBER=6610117, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US"
"C:\Program Files\VMware\VMware Tools\gio-2.0-0.dll","libgio-2.0-0","libgio-2.0-0.dll","Gio","GLib","2.79.1.0","The GLib developer community","Valid","CN=Broadcom Inc, O=Broadcom Inc, L=San Jose, S=California, C=US, SERIALNUMBER=6610117, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US"
"C:\Program Files\VMware\VMware Tools\glib-2.0-0.dll","libglib-2.0-0","libglib-2.0-0.dll","GLib","GLib","2.79.1.0","The GLib developer community","Valid","CN=Broadcom Inc, O=Broadcom Inc, L=San Jose, S=California, C=US, SERIALNUMBER=6610117, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US"
"C:\Program Files\VMware\VMware Tools\glibmm-2.68-1.dll","","glibmm-2.68.dll","The official C++ wrapper for glib","glibmm","2.76.0","The glibmm development team (see AUTHORS)","Valid","CN=Broadcom Inc, O=Broadcom Inc, L=San Jose, S=California, C=US, SERIALNUMBER=6610117, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US"
"C:\Program Files\VMware\VMware Tools\gmodule-2.0-0.dll","libgmodule-2.0-0","libgmodule-2.0-0.dll","GModule","GLib","2.79.1.0","The GLib developer community","Valid","CN=Broadcom Inc, O=Broadcom Inc, L=San Jose, S=California, C=US, SERIALNUMBER=6610117, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US"
"C:\Program Files\VMware\VMware Tools\gobject-2.0-0.dll","libgobject-2.0-0","libgobject-2.0-0.dll","GObject","GLib","2.79.1.0","The GLib developer community","Valid","CN=Broadcom Inc, O=Broadcom Inc, L=San Jose, S=California, C=US, SERIALNUMBER=6610117, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US"
"C:\Program Files\VMware\VMware Tools\gthread-2.0-0.dll","libgthread-2.0-0","libgthread-2.0-0.dll","GThread","GLib","2.79.1.0","The GLib developer community","Valid","CN=Broadcom Inc, O=Broadcom Inc, L=San Jose, S=California, C=US, SERIALNUMBER=6610117, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US"
"C:\Program Files\VMware\VMware Tools\guestStoreClient.dll","guestStoreClient","guestStoreClient.dll","VMware Tools GuestStore Client Library","VMware Tools","13.0.1.0","Broadcom Inc.","Valid","CN=Broadcom Inc, O=Broadcom Inc, L=San Jose, S=California, C=US, SERIALNUMBER=6610117, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US"
